ClienteNo;Cidade;Idade;Sexo;EstadoCivil;NumeroFilhos;Escolaridade;Ocupacao;AreaAtuacao;NivelGerencial;TipoResidencia;CondicaoResidencia;ValorImovel;NoAutomoveis;Computador;PrimeiraCompra
139;2;41;2;3;0;3;1;8;3;2;2;2;1;2;30,9
140;3;41;2;1;0;2;2;7;3;3;2;1;0;1;50,79
141;10;48;1;3;1;3;4;8;4;3;3;3;1;2;36,23
142;8;36;2;3;0;3;3;7;3;2;2;2;1;2;51,98
143;5;58;2;3;2;4;1;2;6;3;3;4;3;2;36,97
144;5;41;2;3;1;3;3;6;3;3;2;3;1;2;38,43
145;5;43;2;1;0;3;3;3;4;3;2;2;1;1;33,93
146;6;39;2;1;0;2;6;4;3;2;2;2;1;1;65,21
147;9;56;2;3;1;4;1;4;6;3;3;4;2;2;14,99
148;4;40;2;1;0;2;4;2;3;2;2;2;1;2;54,5
149;2;59;2;3;0;4;3;8;6;3;2;4;1;1;11,16
150;9;46;1;3;0;3;1;0;4;2;2;3;2;2;33,75
151;5;39;2;3;0;3;5;9;5;3;3;3;2;2;18,32
152;4;59;1;3;1;4;6;5;5;3;2;4;1;1;21,8
153;6;34;1;1;0;2;3;8;2;2;2;2;1;2;69,6
154;2;33;2;2;0;2;2;0;3;2;2;2;1;2;61,07
155;2;28;2;1;0;2;3;1;3;2;2;2;0;1;57,02
156;6;34;2;3;0;3;6;7;3;3;3;1;0;2;63,81
157;2;41;1;3;0;3;3;4;3;2;2;3;1;1;34,46
158;5;42;1;2;0;2;5;1;3;3;3;2;0;2;56,16
159;6;40;2;3;0;3;2;8;4;3;3;3;1;2;41,55
160;8;40;2;3;0;3;2;7;4;2;3;4;1;2;40,45
161;9;43;2;3;0;3;6;5;5;3;4;3;1;1;41,42
162;9;57;1;4;0;4;4;2;7;3;4;5;3;2;12,99
163;8;41;1;1;1;3;3;5;4;2;3;2;1;1;51,9
164;4;36;2;1;0;2;7;0;2;2;2;1;0;2;71,11
165;6;43;2;1;0;2;3;3;4;3;2;2;1;2;36,83
166;6;53;1;3;0;2;2;7;4;2;2;2;1;2;45,66
167;5;37;2;1;2;2;2;2;3;2;2;2;1;2;41,69
168;9;32;2;1;1;2;1;5;2;2;2;1;1;1;65,75
169;5;57;2;3;3;3;6;4;6;3;3;3;1;2;33,86
170;4;57;1;3;0;3;3;4;6;3;4;4;3;2;13,44
171;4;38;2;1;0;2;3;6;3;2;2;2;1;2;70,9
172;4;35;2;1;0;2;4;6;3;2;2;2;1;2;52,32
173;9;51;2;3;2;3;5;2;5;3;3;3;1;2;41,63
174;5;34;1;1;2;2;3;8;3;2;2;2;1;2;40,18
175;6;41;1;3;2;2;3;7;3;2;2;2;0;2;37,8
176;10;21;2;1;0;1;5;6;2;1;1;1;0;2;122,85
177;9;27;2;1;0;2;7;0;2;1;2;2;0;2;98,36
178;4;42;2;1;2;3;3;4;3;2;3;2;0;2;41,99
179;2;46;2;3;0;4;4;8;5;3;2;3;1;2;46,23
180;4;60;1;4;1;4;4;1;7;3;4;5;3;2;0
181;6;27;1;1;0;2;6;8;2;2;2;1;0;2;93,6
182;8;38;1;2;1;3;6;4;3;3;2;2;1;2;76,21
183;10;59;2;3;0;4;4;1;7;3;3;4;3;1;24,59
184;10;34;2;1;0;2;6;8;3;2;2;2;1;1;62,13
185;8;41;2;1;0;2;3;8;3;2;2;2;0;2;55,73
186;5;51;1;3;0;3;2;5;4;3;2;3;1;2;44,79
187;9;39;2;1;2;3;1;4;4;2;2;3;1;2;32,75
188;9;30;2;1;0;2;2;6;2;1;1;1;0;2;79,75
189;3;37;2;1;1;3;2;6;3;3;2;2;1;2;69,57
190;10;42;1;1;0;3;6;7;3;2;2;2;1;1;44,85
191;7;50;2;3;2;4;4;1;7;3;4;4;3;2;0
192;3;50;2;3;2;4;3;4;5;3;3;2;2;2;33,06
193;8;30;1;1;0;2;6;4;2;2;2;2;0;2;56,62
194;7;45;1;1;0;3;2;9;3;2;3;3;1;2;63,11
195;4;20;2;1;0;0;2;4;2;1;1;1;0;2;115,53
196;2;34;1;1;0;2;3;8;3;1;2;2;1;2;48,09
197;3;43;1;3;0;3;3;5;3;2;2;2;1;2;44,87
198;4;40;2;1;1;3;3;5;3;2;2;3;1;2;64,72
199;7;34;1;1;0;2;4;6;2;2;2;1;1;1;61,76
200;2;37;2;2;0;2;6;5;4;2;2;2;1;2;38,35
201;7;32;2;1;2;2;4;4;2;2;2;2;0;2;79,39
202;5;44;2;1;0;2;1;8;3;2;2;2;1;2;38,61
203;7;38;2;3;1;3;3;9;3;2;2;3;1;2;44,04
204;4;56;2;3;0;4;6;4;6;3;3;3;2;2;30,41
205;9;38;2;3;0;3;2;4;4;2;2;3;1;2;49,26
206;9;36;2;2;1;3;4;6;3;3;2;2;1;2;46,38
207;9;46;1;3;1;4;2;5;6;3;4;5;2;2;20,96
208;4;50;2;4;0;4;1;5;6;3;3;4;3;1;8
209;4;54;2;3;0;4;2;4;6;3;3;4;2;2;0
210;9;37;1;2;1;3;3;2;4;2;3;2;1;2;45,98
211;9;58;2;4;0;4;6;6;6;3;3;3;2;2;24,08
212;5;44;2;1;2;2;3;0;3;3;2;2;1;2;66,54
213;4;23;2;1;0;0;2;3;2;1;1;1;0;2;109,4
214;7;32;1;1;0;1;5;2;2;2;2;2;1;1;66,26
215;9;39;2;3;0;3;3;3;5;2;2;3;2;1;36,2
216;3;57;2;3;0;3;4;6;7;3;3;4;3;2;10,13
217;9;52;2;3;0;3;2;8;5;3;3;2;1;2;39,98
218;5;26;1;1;1;1;6;5;2;1;1;1;0;1;107,27
219;7;34;2;1;0;2;2;4;2;2;2;1;1;2;91,12
220;3;31;1;1;0;2;7;0;2;2;2;2;0;2;50,85
221;10;24;1;1;0;1;6;6;2;1;1;1;0;2;80,46
222;5;42;2;3;0;4;4;9;5;3;2;3;1;1;20,77
223;10;61;2;3;3;4;4;7;7;3;4;5;3;2;35,09
224;2;36;2;1;0;2;3;1;3;2;2;2;1;2;68,6
225;10;43;1;3;0;3;3;6;4;2;2;3;1;2;37,19
226;8;56;1;3;1;3;3;7;5;3;3;3;2;2;28,3
227;2;41;2;3;1;3;5;4;5;3;2;3;1;2;44,08
228;10;58;2;3;1;3;1;6;6;3;2;3;3;2;10,95
229;9;39;1;3;0;3;1;8;5;3;2;3;1;2;29,68
230;8;60;1;4;0;4;4;8;7;3;4;5;3;2;12,85
231;2;26;2;1;1;2;3;7;2;2;1;1;0;2;84,04
232;6;28;1;1;0;2;6;2;2;2;2;1;0;2;89,39
233;9;38;1;3;1;3;0;5;3;2;2;3;1;2;37,59
234;4;28;1;1;2;2;2;6;2;2;2;1;0;2;73,46
235;4;25;1;1;0;1;3;9;2;1;1;1;0;2;93,13
236;8;42;2;3;0;3;6;3;4;3;3;3;1;2;54,79
237;3;34;2;1;0;2;5;7;3;3;2;2;1;2;48,38
238;6;44;1;3;0;3;6;0;4;2;2;2;2;1;35,72
239;10;39;2;2;1;2;4;3;3;3;2;3;0;2;60,37
240;5;34;1;1;0;2;2;5;3;2;2;2;1;2;47,45
241;5;45;2;3;0;4;5;8;6;3;3;4;2;2;37,93
242;9;43;2;1;1;3;3;4;3;3;2;2;2;2;41,77
243;5;58;2;4;0;3;1;4;6;3;3;4;1;2;19,46
244;9;27;2;1;0;0;7;0;2;1;1;1;0;2;87,15
245;8;37;2;2;0;2;6;4;3;2;2;2;1;2;42,71
246;8;42;2;1;2;1;7;0;2;2;2;1;0;2;95,59
247;2;52;1;3;0;4;3;7;5;3;3;3;2;1;29,8
248;6;54;1;2;0;3;3;5;6;3;4;4;3;2;22,07
249;4;49;2;3;1;3;3;2;5;3;3;3;1;2;25,38
250;5;27;2;1;1;2;7;0;2;2;1;2;0;2;95,63
251;9;36;2;1;1;3;4;8;4;3;2;3;1;2;40,52
252;9;47;1;1;3;3;1;8;4;2;2;2;1;1;37,53
253;8;46;2;3;0;3;4;4;5;3;2;3;1;1;33,61
254;2;30;2;3;0;2;4;1;2;2;2;2;0;2;66,2
255;7;45;2;3;0;2;6;6;3;2;2;2;1;1;63,89
256;2;23;2;1;3;2;5;2;2;2;1;1;0;2;110,21
257;7;53;2;3;0;4;0;0;6;3;4;4;2;2;34,69
258;4;30;2;2;1;3;6;5;3;2;2;2;1;2;41,09
259;10;48;1;3;1;3;1;3;5;3;3;3;1;2;22,46
260;4;22;2;1;0;0;2;5;2;1;1;1;0;2;127,83
261;10;53;2;3;1;4;4;0;7;3;3;4;2;2;24,56
262;10;33;1;1;1;2;5;5;2;2;2;2;0;2;96,72
263;9;39;2;1;2;3;1;5;3;1;2;2;1;2;47,57
264;7;36;2;2;0;3;3;5;3;2;2;2;1;2;59,06
265;5;37;2;3;2;3;3;9;4;2;2;3;1;2;41,22
266;2;32;1;1;0;2;3;7;3;3;2;2;1;2;56,52
267;7;31;1;3;2;3;4;8;3;2;2;3;1;2;45,62
268;4;45;1;4;2;3;3;8;6;3;3;4;1;2;44,33
269;9;55;1;3;0;3;1;8;5;3;3;3;1;2;22,93
270;7;36;2;1;0;3;5;6;4;3;2;3;1;2;49,67
271;2;34;2;1;1;1;1;4;2;1;2;1;0;2;86,59
272;2;46;2;3;0;3;5;8;6;3;3;4;1;2;18,89
273;9;27;1;1;2;3;3;8;2;2;2;2;0;2;71,92
274;2;25;1;1;2;1;3;9;2;2;1;1;0;2;121,87
275;5;39;2;3;1;3;6;8;4;2;2;2;1;2;48,54
276;2;36;1;2;0;2;3;7;3;2;2;2;1;2;66,91
277;4;26;2;1;3;0;3;4;2;1;2;1;0;2;99,8
278;10;47;1;2;0;3;4;7;5;3;3;3;1;1;40,1
279;9;51;2;3;3;3;3;7;5;3;4;4;1;2;38,97
280;7;38;2;3;1;3;1;6;4;2;2;2;1;1;44,15
281;5;54;2;4;0;4;4;2;7;3;4;4;3;2;19,86
282;9;31;2;1;0;2;3;2;3;2;3;2;0;2;68,66
283;4;27;2;1;0;2;0;9;2;2;1;2;0;1;100,17
284;7;44;2;2;0;3;3;0;5;3;3;3;2;2;33,09
285;4;23;2;1;1;0;3;7;2;2;1;1;0;2;128,36
286;3;55;1;3;0;4;1;1;6;3;4;4;2;2;19,18
287;7;46;2;3;0;3;6;2;5;3;3;3;2;2;37
288;7;21;1;1;2;2;7;0;2;1;1;1;0;2;95,31
289;8;35;2;2;0;2;2;3;3;3;2;3;1;2;59,73
290;6;40;2;3;0;3;2;6;4;2;3;3;2;2;27,04
291;8;27;2;1;0;1;3;4;2;2;1;2;0;2;87,05
292;2;35;2;2;0;3;1;2;3;2;2;2;1;2;42,43
293;2;56;2;4;0;4;4;9;7;3;4;5;3;2;12,42
294;5;50;1;3;0;3;5;6;6;3;4;5;1;2;12,7
295;4;33;2;1;1;3;5;4;3;2;2;2;0;2;72,32
296;2;28;2;1;0;0;2;7;2;1;1;1;0;2;107,45
297;5;36;2;2;0;2;2;5;3;2;2;2;1;2;77,9
298;7;48;1;3;0;4;6;6;6;3;3;3;2;1;22,86
299;5;49;2;3;0;3;1;3;3;2;2;2;1;2;87,48
300;4;20;2;1;2;2;2;2;2;1;1;2;0;2;94,36
301;5;26;2;1;0;3;7;0;2;2;2;1;0;2;79,29
302;9;24;2;1;1;0;2;5;2;2;2;2;0;2;102,97
303;10;33;2;1;0;2;4;4;2;2;2;2;0;1;93,53
304;2;29;1;1;1;2;2;1;2;2;1;1;0;2;86,36
305;4;36;2;1;1;1;7;0;2;1;2;2;0;2;63,5
306;10;25;1;1;0;2;2;8;2;1;2;2;0;2;75,09
307;7;39;1;3;0;3;2;8;4;2;3;2;1;2;47,48
308;2;20;1;1;0;0;1;2;2;1;1;1;0;2;89,45
309;4;26;2;1;0;2;3;9;2;2;2;2;0;2;70
310;7;39;2;1;0;3;3;8;3;2;2;3;1;2;41,95
311;2;37;2;1;1;2;3;2;3;2;2;2;1;2;57,5
312;4;51;1;3;0;4;2;9;6;3;2;3;1;1;25,44
313;5;22;2;1;1;0;6;5;2;1;1;1;0;1;118,42
314;9;27;1;1;0;1;7;0;2;1;2;1;0;2;63,43
315;9;50;1;4;0;4;3;3;6;3;4;3;2;2;18,7
316;9;32;1;3;0;3;4;4;3;2;2;3;1;2;58,67
317;9;29;2;1;0;2;3;4;2;2;2;1;0;2;75,8
318;4;37;1;3;0;3;0;4;3;3;2;2;1;2;38,52
319;10;43;2;1;0;3;3;6;2;2;2;1;1;1;47,65
320;7;39;2;3;0;3;5;0;4;3;3;2;2;2;61,59
321;6;22;2;1;2;0;4;7;2;1;1;1;0;2;115,82
322;10;46;1;3;1;3;4;7;4;2;2;3;1;2;18
323;9;32;2;1;0;3;1;6;3;2;2;2;0;2;84,88
324;7;53;2;3;0;3;6;5;4;3;3;3;1;2;42,78
325;7;43;2;2;1;3;3;7;3;3;3;3;1;2;47,44
326;4;64;1;4;1;4;4;2;7;3;4;5;3;2;0
327;8;44;1;3;0;3;3;3;5;3;3;4;1;2;32,66
328;8;26;2;1;0;0;7;0;2;1;1;1;0;2;109,67
329;9;53;2;3;2;3;2;8;5;3;3;4;1;1;35,7
330;5;33;2;3;1;2;3;2;3;2;2;2;0;1;40,62
331;10;43;2;2;0;3;3;2;5;3;3;4;1;2;21,63
332;7;25;1;1;1;2;6;2;2;1;1;1;0;1;102,1
333;2;41;1;3;1;3;3;4;3;2;2;3;1;2;42,49
334;7;32;2;1;0;3;6;3;2;2;2;1;0;2;68,25
335;6;35;1;2;0;2;6;2;3;2;2;2;1;2;54,59
336;6;31;2;1;0;2;5;4;2;2;2;1;0;2;76,41
337;2;34;1;1;0;3;2;2;3;2;2;2;0;2;49,64
338;10;51;2;4;0;4;4;8;7;3;4;4;3;2;21,36
339;5;44;2;3;0;4;3;8;5;3;3;3;1;2;9,79
340;4;35;2;3;1;3;5;1;4;3;2;2;1;2;41,76
341;7;43;2;4;0;4;3;9;4;3;3;3;1;2;53,27
342;3;29;2;1;0;2;3;6;2;2;1;2;0;2;68,41
343;9;42;2;3;0;4;3;5;5;3;2;3;2;1;24,33
344;8;39;2;3;3;3;4;7;4;3;2;3;1;1;41,29
345;6;45;2;3;0;3;3;6;4;3;3;3;1;1;42,86
346;3;40;2;1;2;2;3;5;3;2;3;3;0;2;53,89
347;4;38;2;1;0;1;7;0;2;2;2;2;0;2;73,13
348;5;33;2;1;0;2;3;8;2;2;2;1;1;2;76,33
349;3;37;2;1;0;2;6;7;3;2;3;2;0;2;64,48
350;7;34;2;1;0;2;2;8;3;2;2;2;1;2;49,45
351;6;34;2;1;1;2;6;8;3;2;2;2;0;2;58,44
352;5;38;2;2;0;2;2;2;3;2;2;1;0;2;53,07
353;4;25;1;1;0;0;1;4;2;1;1;1;0;2;101,1
354;4;31;1;1;0;1;3;3;2;1;2;1;0;1;101,34
355;5;37;1;1;0;2;3;4;3;2;2;1;0;2;60,9
356;2;29;2;1;0;0;5;6;2;1;1;1;0;2;98,86
357;4;39;2;3;0;3;6;9;3;3;2;2;1;2;51,08
358;3;51;1;4;0;4;3;9;6;3;3;4;2;1;20,72
359;6;54;2;3;0;3;3;8;5;3;2;3;2;2;28,87
360;9;23;1;1;0;2;2;5;2;2;2;2;0;2;55,26
361;5;53;1;3;2;3;3;5;6;3;4;4;2;2;23,05
362;8;38;2;1;1;2;3;4;4;3;2;3;2;2;54,49
363;7;37;2;2;0;2;3;4;2;2;1;1;0;2;54,35
364;5;33;2;2;1;2;2;4;3;3;3;2;1;2;63,39
365;9;59;2;3;1;3;2;2;5;3;3;3;1;2;25,84
366;10;26;2;1;0;1;0;5;2;2;1;1;0;1;104,79
367;9;20;2;1;0;0;5;6;2;1;1;1;0;2;104,92
368;10;36;1;1;0;2;5;3;3;2;2;1;0;2;83,52
369;2;40;2;3;0;3;2;6;3;2;1;2;0;1;53,13
370;3;39;2;3;0;2;4;9;3;2;3;2;1;2;33,35
371;3;30;2;1;3;2;3;5;3;2;2;2;1;1;59,08
372;8;59;1;4;0;4;4;4;7;3;4;5;3;2;23,33
373;5;33;1;1;1;2;2;9;2;2;2;2;0;1;78,78
374;8;51;1;3;2;3;5;6;5;3;4;3;1;2;38,33
375;4;38;1;1;0;2;6;4;3;2;2;3;1;2;62,65
376;9;49;2;1;0;3;3;2;4;2;2;3;1;1;32,56
377;5;38;1;2;2;3;2;9;4;2;3;3;1;2;39,07
378;7;32;1;1;0;2;1;4;3;2;2;2;0;2;47,12
379;5;34;1;3;0;3;2;9;3;2;2;2;1;2;50,6
380;7;45;2;1;0;3;5;1;3;2;2;2;1;1;63,19
381;5;37;1;1;1;3;2;7;3;2;2;2;1;2;30,81
382;6;57;2;3;1;4;3;7;5;3;2;3;2;2;12,94
383;8;38;2;1;0;2;3;4;2;2;2;2;1;2;61,63
384;8;48;1;3;0;4;3;6;4;3;3;2;1;2;44,01
385;8;40;2;3;0;3;3;4;3;2;2;2;1;2;54,41
386;6;24;2;1;0;2;2;1;2;1;2;1;0;2;72,87
387;5;51;2;3;4;3;1;3;5;3;4;4;2;2;27,43
388;6;19;2;1;2;0;1;7;2;1;1;1;0;1;126,11
389;8;36;2;1;0;2;2;6;3;2;2;2;1;2;82,72
390;6;40;1;1;2;3;5;8;3;2;2;2;1;2;63,74
391;8;26;2;1;2;2;6;4;2;1;2;1;0;1;74,18
392;10;28;2;1;0;0;3;4;2;2;2;1;0;2;87,7
393;9;39;2;3;0;3;4;6;3;2;3;2;1;1;43,45
394;7;37;2;1;3;3;3;1;3;2;2;2;0;2;83
395;8;42;2;1;0;3;3;4;3;2;3;2;0;2;46,68
396;6;47;1;3;0;3;3;8;5;3;2;3;1;2;63,58
397;2;25;2;1;0;0;2;4;2;1;1;1;0;2;107,75
398;9;21;2;1;0;0;7;0;2;1;1;1;0;2;119,59
399;2;34;1;1;0;3;3;2;2;2;2;2;1;1;83,39
400;9;26;2;1;0;0;3;3;2;2;1;1;0;1;96,8
401;9;47;1;3;1;3;2;4;5;3;2;3;1;2;15,95
402;9;53;2;3;0;4;3;5;6;3;3;4;2;1;18,78
403;5;44;2;3;0;3;6;8;5;3;2;3;1;2;25,9
404;10;53;2;4;0;3;2;1;5;3;3;4;2;2;34,7
405;8;38;2;3;0;4;6;4;5;3;4;3;2;2;17,33
