Cidade,Idade,Sexo,EstadoCivil,NumeroFilhos,Escolaridade,Ocupacao,AreaAtuacao,NivelGerencial,TipoResidencia,CondicaoResidencia,ValorImovel,NoAutomoveis,Computador,PrimeiraCompra
2,25,2,1,0,2,7,0,1,2,2,1,1,2,1.0
9,27,1,1,4,2,2,6,1,1,2,2,0,2,1.0
7,38,2,3,0,3,6,3,3,2,3,3,1,2,0.0
9,34,1,3,2,3,3,4,2,3,2,3,1,1,0.0
7,30,1,1,0,2,6,0,1,2,1,2,0,2,1.0
9,56,2,3,1,3,4,6,6,3,4,5,3,2,0.0
9,40,1,2,0,2,2,6,3,2,3,2,1,2,0.0
6,49,2,2,2,3,3,8,2,2,2,2,0,2,1.0
5,41,2,3,0,3,2,3,3,2,3,2,1,2,1.0
8,43,2,3,0,2,3,4,3,3,2,3,1,2,1.0
10,46,2,3,2,3,1,2,4,3,4,4,1,2,0.0
3,41,2,1,0,2,3,8,2,2,1,2,1,2,1.0
4,23,2,1,1,0,3,7,1,2,1,1,0,2,1.0
3,28,2,1,0,2,7,0,1,2,2,2,0,2,1.0
4,38,2,2,1,3,5,2,2,2,2,2,1,1,1.0
8,44,1,3,0,3,3,3,4,3,3,4,1,2,0.0
2,38,1,2,0,3,3,6,4,2,3,2,1,2,0.0
8,40,2,3,2,4,1,4,5,3,3,4,2,2,1.0
7,23,2,1,0,1,7,0,1,1,2,2,1,1,1.0
9,53,2,3,0,3,3,4,5,3,4,2,2,2,0.0
8,32,2,1,1,2,4,7,1,2,2,1,0,2,1.0
9,21,2,1,2,1,6,3,1,1,1,1,0,2,1.0
6,50,1,3,2,4,6,0,5,3,3,5,2,2,0.0
9,43,1,3,0,3,2,7,3,3,2,3,1,2,0.0
4,49,2,3,1,3,3,7,3,3,2,2,1,2,1.0
9,40,2,3,0,3,3,6,3,2,2,2,1,2,1.0
6,61,2,4,0,4,4,7,6,3,4,3,3,1,0.0
4,28,2,1,2,1,5,9,1,1,2,1,0,2,1.0
7,35,1,1,0,2,5,9,1,2,2,2,0,2,1.0
3,40,2,1,0,3,3,5,2,2,2,2,1,2,1.0
3,30,2,1,2,3,5,5,2,2,2,1,1,2,1.0
9,36,1,1,0,2,7,0,1,1,2,1,0,2,1.0
2,36,2,3,0,2,1,1,2,2,2,2,1,2,1.0
8,36,2,2,0,3,6,7,3,3,3,3,1,2,0.0
9,35,1,1,2,3,3,6,2,3,2,3,1,2,1.0
4,45,2,3,3,3,4,6,4,3,2,4,2,2,0.0
2,41,1,1,0,2,3,5,2,2,3,2,0,1,1.0
4,35,2,3,0,2,7,0,1,2,2,2,0,2,1.0
10,46,2,3,2,3,6,1,4,3,3,3,1,2,0.0
5,44,2,3,2,3,4,7,2,2,3,2,1,2,0.0
8,49,2,1,0,3,2,9,2,2,2,2,1,2,1.0
9,33,2,1,1,3,3,7,2,2,2,2,0,1,1.0
5,42,2,3,1,3,5,0,2,2,2,2,1,2,1.0
5,30,2,1,2,2,3,1,1,2,2,2,0,2,1.0
9,51,2,3,0,3,4,1,4,2,2,4,1,1,0.0
7,47,2,3,0,2,1,6,2,2,3,2,1,2,1.0
3,55,1,4,0,3,2,2,5,3,3,4,1,2,0.0
9,45,2,2,0,3,6,1,2,3,2,2,0,1,1.0
10,34,1,2,1,2,6,0,2,2,2,2,1,2,1.0
8,38,2,2,3,3,0,6,3,2,3,4,1,2,0.0
7,36,1,1,0,3,5,0,2,3,2,2,1,2,1.0
5,35,2,1,0,1,7,0,1,3,2,2,0,1,1.0
10,44,2,3,0,4,3,5,4,3,2,3,1,2,0.0
3,30,2,1,0,3,7,0,1,2,2,1,0,2,1.0
6,49,1,3,0,3,3,9,4,2,3,3,1,2,1.0
4,19,1,1,1,0,4,5,1,1,2,1,0,2,1.0
10,36,2,1,0,2,5,7,1,2,2,1,0,2,1.0
9,24,2,2,1,2,1,4,1,2,2,2,0,2,1.0
4,59,1,3,3,3,1,1,4,3,3,4,1,2,0.0
10,41,2,1,0,3,2,8,2,2,2,2,1,2,1.0
10,31,2,1,0,1,1,5,1,1,2,1,0,2,1.0
2,60,1,4,0,4,4,9,6,3,4,4,3,2,0.0
7,50,1,2,3,3,3,4,3,3,2,2,1,2,1.0
9,38,2,2,0,2,6,6,2,2,2,2,0,2,0.0
2,32,2,1,0,2,1,8,2,3,2,2,1,2,1.0
9,57,1,3,0,4,4,1,6,3,4,5,3,2,0.0
8,39,2,3,0,3,3,5,3,3,2,2,1,2,1.0
7,25,1,1,0,2,3,4,1,1,2,1,0,1,0.0
9,37,2,3,0,3,6,8,2,2,2,2,1,2,1.0
2,38,1,1,1,1,6,4,2,2,2,2,1,2,0.0
9,43,2,3,0,2,5,4,2,2,2,5,1,2,0.0
2,40,1,2,0,3,3,3,2,2,2,2,1,2,0.0
2,30,2,3,1,0,4,5,1,2,2,2,1,2,1.0
5,46,2,3,1,3,3,3,4,3,3,2,2,2,0.0
3,30,2,1,0,2,7,0,1,2,2,2,1,2,1.0
8,52,2,3,0,4,3,4,5,3,3,3,1,1,0.0
6,27,2,1,0,2,4,4,1,2,2,1,1,1,1.0
8,39,2,1,0,3,1,4,2,2,3,3,2,2,0.0
10,39,2,2,1,2,4,3,2,3,2,3,0,2,1.0
8,30,2,1,2,2,0,1,1,1,2,1,0,2,1.0
5,46,1,2,0,3,5,4,4,3,2,4,1,1,0.0
8,62,1,3,0,4,4,2,6,3,3,4,3,2,0.0
2,49,1,2,0,3,2,3,4,3,3,3,2,1,1.0
3,36,2,3,1,3,1,1,2,2,2,3,1,2,1.0
5,41,2,1,0,2,2,2,2,3,2,2,1,2,1.0
3,54,2,4,0,4,0,5,5,3,3,4,1,2,0.0
6,53,1,3,0,4,4,4,6,3,4,4,2,1,0.0
8,26,1,1,0,1,3,8,1,2,1,1,0,2,1.0
8,55,1,3,0,3,3,4,5,3,3,3,1,2,0.0
5,30,2,1,0,2,7,0,1,2,2,1,0,2,1.0
8,57,1,3,1,4,3,4,5,3,4,4,1,2,0.0
3,45,2,3,0,3,3,2,4,2,2,3,2,1,0.0
10,23,2,1,2,1,7,0,1,1,2,1,0,2,1.0
6,32,2,1,0,2,3,9,2,3,2,2,0,2,1.0
10,24,2,1,2,0,6,5,1,1,1,1,0,2,1.0
5,25,2,1,1,2,2,7,1,2,2,1,0,2,1.0
2,46,1,2,0,3,3,7,2,3,2,2,1,2,1.0
9,33,2,1,0,1,2,4,2,2,2,2,0,2,1.0
2,52,2,3,0,3,3,5,4,3,2,3,2,2,0.0
8,52,1,3,0,3,5,4,4,2,2,2,1,2,0.0
2,37,2,1,0,2,7,0,1,2,2,2,0,2,1.0
2,29,2,1,0,2,2,9,1,2,2,2,0,2,1.0
2,49,2,2,1,2,6,8,2,3,2,2,1,2,1.0
3,29,1,2,1,2,2,7,1,2,2,1,1,1,1.0
9,30,1,1,0,2,6,0,1,2,1,2,0,2,1.0
7,35,1,1,0,2,4,6,1,1,2,1,0,2,1.0
7,52,1,3,1,3,6,2,4,3,3,3,1,2,0.0
8,38,2,2,2,3,1,5,2,2,2,3,1,2,1.0
2,41,2,3,1,4,3,3,4,3,2,2,1,2,0.0
6,30,2,1,0,1,3,7,1,1,2,1,0,2,1.0
3,55,2,1,2,3,6,6,3,3,2,2,1,2,0.0
8,33,1,3,2,2,6,5,2,2,2,2,0,1,1.0
9,32,2,1,0,2,2,7,1,1,2,2,0,2,1.0
8,35,1,3,0,1,4,4,1,2,2,2,0,2,1.0
9,55,2,3,0,4,6,7,5,3,2,3,1,2,0.0
5,39,1,1,0,2,3,6,2,2,2,3,1,1,1.0
5,41,1,1,0,3,1,2,3,2,2,2,1,2,1.0
5,53,1,3,0,4,1,0,4,3,4,3,1,1,0.0
10,54,2,4,2,3,3,9,5,3,3,4,2,1,0.0
5,48,2,3,0,3,3,8,4,2,3,2,1,2,1.0
7,40,2,3,0,2,2,1,4,3,2,4,1,1,0.0
2,25,1,2,0,3,6,5,2,3,2,3,1,2,0.0
9,30,1,1,0,2,7,0,1,2,2,2,1,2,1.0
5,32,2,1,0,2,3,2,1,2,2,2,0,2,1.0
10,26,2,1,0,1,0,5,1,2,1,1,0,1,1.0
6,35,1,1,0,3,1,3,3,2,2,2,1,2,1.0
9,44,1,1,0,3,3,3,2,2,2,2,1,2,1.0
10,27,2,1,0,2,4,4,1,2,2,2,0,1,1.0
3,55,1,3,0,4,1,1,5,3,4,4,2,2,0.0
5,40,2,1,0,2,1,7,1,2,2,2,1,2,1.0
4,50,2,3,0,3,2,3,4,3,2,4,1,1,0.0
3,53,2,3,0,3,3,5,4,3,4,4,2,2,0.0
7,30,1,1,1,2,7,0,1,2,2,2,0,2,1.0
2,45,1,2,0,3,2,3,2,3,2,3,1,2,1.0
5,34,2,1,0,2,3,2,2,2,2,2,1,2,0.0
6,51,2,3,0,3,2,1,3,3,3,2,0,2,1.0
9,41,2,1,0,3,3,2,2,2,2,2,1,2,1.0
7,29,2,1,1,2,2,9,1,2,2,2,1,2,1.0
6,28,2,1,0,2,5,0,1,1,1,1,0,2,1.0
9,37,2,3,0,2,6,7,2,2,4,2,1,2,1.0
9,40,1,1,0,3,1,7,4,3,3,3,1,2,0.0
9,40,2,1,2,2,3,7,2,3,2,1,0,1,1.0
9,54,2,4,0,4,3,4,5,3,4,4,3,1,0.0
10,47,1,2,0,3,4,7,4,3,3,3,1,1,0.0
5,37,2,2,0,3,2,9,3,3,3,2,1,2,0.0
5,32,2,1,2,1,5,6,1,2,2,1,1,2,1.0
3,44,2,1,1,3,3,5,2,2,3,2,0,2,1.0
3,31,1,1,0,2,4,2,2,2,2,2,1,1,1.0
4,50,2,3,0,3,1,6,3,2,2,3,1,1,0.0
10,52,1,3,0,4,3,9,4,3,3,3,1,2,0.0
5,44,2,3,2,3,6,4,3,3,2,4,1,2,1.0
2,57,1,4,1,4,4,0,6,3,3,5,1,2,0.0
6,19,2,1,0,0,3,3,1,1,1,1,0,2,1.0
8,55,2,3,0,4,3,2,4,3,4,3,2,2,0.0
7,35,2,2,1,3,3,4,2,2,3,3,1,2,1.0
7,32,2,1,0,2,2,2,2,2,2,1,1,2,1.0
8,39,2,1,0,3,4,6,2,3,2,3,1,2,1.0
7,59,2,4,0,4,4,2,6,3,4,5,3,2,0.0
8,25,1,1,0,0,7,0,1,1,1,1,0,2,1.0
10,41,2,3,0,3,3,5,5,3,3,4,3,2,0.0
4,39,2,2,0,3,5,5,2,2,2,2,1,1,0.0
6,25,1,1,0,1,1,4,1,1,1,1,0,1,1.0
8,38,2,3,0,3,2,4,3,3,3,2,1,2,1.0
5,53,1,3,2,3,3,5,5,3,4,4,2,2,0.0
2,47,1,1,0,3,3,9,2,2,2,2,1,1,1.0
2,44,2,1,0,3,6,3,2,2,2,2,1,2,1.0
9,42,2,2,1,3,0,8,3,2,4,2,1,2,0.0
2,40,2,1,2,3,3,2,2,2,2,2,0,2,1.0
10,32,2,1,0,3,3,9,2,3,2,2,1,2,1.0
2,45,1,2,0,3,2,1,2,2,2,2,1,2,1.0
3,57,2,3,0,3,4,6,6,3,3,4,3,2,0.0
4,47,2,1,1,4,4,6,3,2,3,2,1,2,1.0
5,53,2,3,0,3,6,3,4,3,4,3,1,1,0.0
7,46,2,2,0,3,3,9,2,2,2,2,1,2,0.0
9,49,2,1,0,3,2,2,3,3,2,3,2,2,1.0
10,18,2,1,0,0,6,4,1,1,1,1,0,2,1.0
5,31,2,1,4,2,6,4,1,2,1,2,0,2,1.0
10,25,1,1,1,0,3,8,1,1,1,1,0,2,1.0
4,53,2,4,1,3,2,6,4,3,3,4,1,2,0.0
5,31,2,1,0,2,6,5,1,2,2,1,0,2,1.0
7,33,2,3,0,2,6,4,2,2,3,3,2,2,1.0
6,38,2,3,0,3,3,6,3,3,2,3,2,1,1.0
3,20,2,1,1,1,2,3,1,1,1,1,0,2,1.0
10,54,1,4,0,4,3,8,5,3,3,5,2,2,0.0
2,37,2,3,0,3,2,4,3,3,2,3,1,2,1.0
4,56,2,3,0,4,6,4,5,3,3,3,2,2,0.0
4,26,2,1,0,3,6,6,1,2,2,2,0,1,1.0
9,40,1,1,0,2,3,6,2,2,3,3,1,1,1.0
3,38,1,2,1,3,6,2,3,3,3,3,1,1,0.0
5,29,2,2,0,1,1,9,2,2,2,2,1,2,1.0
9,47,2,3,1,4,3,8,4,2,3,3,1,1,0.0
10,31,2,1,3,3,6,2,2,2,2,2,1,2,1.0
2,36,2,1,0,3,2,9,1,3,2,2,0,2,1.0
3,42,2,3,1,3,5,1,4,3,3,3,1,2,0.0
3,35,2,1,0,2,4,3,2,1,2,2,1,2,1.0
7,50,2,3,2,3,5,3,4,3,3,3,2,1,0.0
7,48,2,1,0,3,3,0,3,2,3,4,1,2,0.0
9,50,2,2,0,3,5,3,3,2,2,2,1,1,1.0
8,36,2,1,1,2,2,7,1,2,2,2,0,2,1.0
4,42,2,1,0,3,6,4,2,2,2,2,1,2,1.0
8,34,2,2,0,3,4,7,2,3,2,2,1,2,1.0
4,47,2,3,0,3,3,6,3,3,2,3,1,2,0.0
9,49,2,3,0,3,1,8,4,3,3,2,1,2,1.0
2,31,1,1,0,2,2,2,1,2,2,1,0,2,1.0
7,24,2,1,0,1,7,0,1,2,2,2,0,2,1.0
6,47,1,3,0,3,3,3,3,3,2,4,1,2,0.0
9,44,1,3,0,3,3,5,4,3,3,3,1,2,0.0
8,38,2,1,1,2,3,4,3,3,2,3,2,2,1.0
2,40,2,1,0,3,3,5,2,3,2,2,0,2,1.0
10,49,2,3,0,4,1,8,4,3,3,3,1,2,0.0
6,47,1,3,3,3,2,4,4,3,3,4,3,2,0.0
9,38,2,2,1,3,1,4,3,2,2,3,1,2,0.0
9,31,2,1,1,2,5,8,1,2,2,2,1,1,1.0
8,42,2,3,0,4,1,7,3,2,3,3,2,2,1.0
7,43,2,2,0,3,4,3,3,3,2,3,1,2,0.0
2,36,2,3,0,3,1,4,4,3,3,4,1,2,0.0
8,46,2,3,1,3,3,8,4,3,2,4,1,2,0.0
9,35,2,2,0,3,1,6,2,2,2,2,0,2,1.0
8,42,2,3,0,3,6,3,3,3,3,3,1,2,1.0
7,33,2,1,0,2,3,4,1,2,2,1,0,2,1.0
5,33,2,2,1,2,2,4,2,3,3,2,1,2,1.0
9,47,1,3,0,3,2,4,3,3,2,3,1,2,0.0
5,28,2,2,1,2,4,2,2,3,2,2,1,2,1.0
2,41,1,1,1,2,1,0,2,2,2,2,0,2,1.0
10,37,1,1,1,3,5,6,2,2,2,2,1,2,1.0
4,29,2,1,0,2,7,0,1,1,2,2,0,1,1.0
10,22,2,1,0,0,7,0,1,1,1,1,0,2,1.0
2,30,2,1,0,3,2,6,1,2,2,1,1,2,1.0
8,38,2,1,1,2,4,2,2,2,2,2,1,2,1.0
5,59,1,4,0,3,2,2,5,3,3,4,2,2,0.0
9,39,2,3,0,2,3,9,2,2,2,2,1,1,0.0
6,41,2,3,0,2,3,5,2,2,3,2,1,2,1.0
4,48,1,3,1,3,3,3,5,3,4,4,2,2,0.0
8,31,2,1,0,2,6,0,2,1,2,2,1,1,1.0
4,36,2,3,0,2,2,1,2,2,2,2,0,2,1.0
2,38,2,3,1,2,3,7,3,2,2,3,0,2,0.0
6,45,1,3,0,3,3,7,3,3,3,3,1,2,0.0
3,35,2,1,0,2,1,3,2,3,2,2,1,2,0.0
2,46,1,3,0,3,1,4,3,3,3,2,1,2,0.0
6,39,2,3,0,3,3,4,3,3,4,3,2,2,0.0
2,30,1,1,1,1,6,2,1,1,2,2,0,2,1.0
2,43,2,3,0,3,3,2,4,3,3,4,2,1,0.0
4,57,1,4,0,4,4,1,6,3,3,5,3,1,0.0
8,43,1,3,0,3,2,5,3,2,2,2,1,2,0.0
6,45,1,3,0,3,2,4,5,3,3,5,3,1,0.0
5,33,2,1,1,1,6,4,1,2,2,2,1,2,1.0
9,35,2,1,0,3,6,5,2,2,2,2,1,2,1.0
2,28,2,1,2,1,6,9,1,1,2,2,0,2,1.0
7,26,2,1,1,1,6,9,1,2,1,1,0,2,1.0
8,30,2,1,0,1,7,0,1,2,2,2,1,2,1.0
4,50,1,3,0,3,2,1,3,3,2,3,2,2,0.0
10,37,2,1,0,2,5,9,2,2,2,2,0,2,1.0
8,35,2,3,0,3,3,3,3,2,3,3,1,2,1.0
9,42,1,3,0,3,4,3,6,3,3,5,1,2,0.0
7,39,1,3,0,3,2,8,3,2,3,2,1,2,1.0
5,51,2,3,0,3,3,6,4,2,3,3,1,2,1.0
5,28,2,3,0,3,4,2,1,2,2,2,1,2,1.0
4,62,1,4,0,4,4,4,6,3,4,5,3,1,0.0
5,34,1,2,0,3,2,3,2,3,3,2,0,1,0.0
9,33,2,1,1,2,2,4,1,2,2,2,1,2,1.0
9,34,2,1,2,2,3,9,2,2,2,2,0,1,1.0
8,47,2,3,0,3,2,2,4,3,3,3,1,2,0.0
9,28,2,1,4,2,7,0,1,2,2,2,1,2,1.0
9,51,2,3,3,3,3,7,4,3,4,4,1,2,0.0
5,44,1,3,1,4,3,4,4,3,3,4,3,1,1.0
3,36,2,1,0,2,5,8,1,2,2,3,0,1,1.0
8,44,2,3,1,3,2,0,3,2,2,2,0,2,0.0
2,53,2,3,1,3,2,8,2,2,2,2,0,2,1.0
5,44,2,1,0,2,1,8,2,2,2,2,1,2,0.0
10,29,2,1,2,2,5,6,1,1,2,2,0,2,1.0
8,58,1,3,0,4,4,8,6,3,4,4,3,2,0.0
4,50,2,3,0,3,3,4,4,3,2,4,1,2,1.0
9,29,1,2,1,2,6,5,2,2,2,1,1,1,1.0
9,43,1,2,2,3,2,4,2,2,2,2,1,2,1.0
5,63,2,4,1,4,4,2,6,3,4,5,3,1,0.0
9,38,1,2,0,3,4,0,2,2,2,2,1,2,1.0
8,27,2,1,1,1,4,5,1,1,1,2,0,2,1.0
8,24,2,1,0,2,3,2,1,2,2,2,0,2,1.0
4,36,2,1,0,2,3,2,2,3,3,2,0,2,1.0
3,31,1,1,0,2,7,0,1,2,2,2,0,2,1.0
9,39,1,1,0,2,4,6,2,2,3,3,1,2,1.0
5,33,2,1,0,2,3,8,1,2,2,1,1,2,1.0
2,39,2,1,0,3,3,8,2,2,2,2,1,2,1.0
2,28,2,1,0,2,3,5,1,2,2,2,1,2,1.0
8,40,2,3,0,2,4,7,2,1,2,2,1,2,1.0
5,58,2,4,0,3,1,4,5,3,3,4,1,2,0.0
9,34,2,2,0,2,5,5,2,2,2,2,1,2,1.0
2,19,2,1,0,0,7,0,1,1,1,1,0,2,1.0
9,33,2,1,0,2,4,2,2,2,2,2,0,2,1.0
7,50,2,1,0,3,5,8,3,2,2,2,1,2,0.0
4,31,2,1,0,2,0,6,2,2,1,2,1,2,1.0
4,36,2,1,0,2,2,8,2,2,2,2,0,2,1.0
2,44,1,1,0,3,5,4,2,2,2,2,1,2,0.0
9,53,1,3,1,3,4,2,3,3,3,3,2,2,1.0
7,50,2,3,2,4,4,1,6,3,4,4,3,2,0.0
9,39,1,1,1,3,3,5,2,3,2,3,1,2,0.0
2,54,2,3,0,3,3,9,3,3,2,3,1,2,0.0
4,32,1,3,0,3,3,6,2,3,2,2,0,2,0.0
9,37,2,1,1,3,1,5,1,2,2,2,0,1,1.0
7,56,1,3,0,3,3,4,3,3,2,3,1,1,0.0
2,26,2,1,0,0,6,0,1,2,1,1,0,2,1.0
2,31,2,2,0,2,3,0,2,2,2,3,1,1,1.0
10,59,2,3,0,4,3,7,4,3,3,3,2,2,0.0
2,31,2,1,0,2,4,6,1,2,2,2,1,2,1.0
6,25,2,1,1,2,7,0,1,2,2,2,0,1,1.0
2,38,1,1,1,3,6,0,2,2,2,2,1,2,1.0
5,57,2,3,3,3,6,4,5,3,3,3,1,2,0.0
9,56,2,3,0,3,5,1,4,3,3,3,1,2,0.0
2,44,2,2,1,3,6,4,3,3,3,4,2,2,0.0
9,37,2,2,0,3,2,7,2,2,2,3,1,2,1.0
2,45,2,3,0,3,6,5,3,3,3,3,1,1,0.0
8,33,2,1,4,3,6,1,2,2,2,3,1,2,1.0
5,53,2,1,0,3,2,8,3,3,3,2,1,2,1.0
10,47,2,3,3,3,6,1,2,2,3,2,1,2,1.0
7,55,1,4,0,4,4,6,6,3,4,5,2,2,0.0
4,45,1,3,0,3,1,4,3,2,3,3,1,2,0.0
6,35,1,2,0,3,3,7,2,2,2,2,1,2,1.0
5,43,2,3,0,3,5,8,2,2,2,3,1,2,1.0
3,37,2,1,1,3,2,6,2,3,2,2,1,2,1.0
3,38,2,1,0,3,5,5,2,2,2,2,1,1,1.0
5,46,1,3,0,3,3,5,2,2,2,3,1,2,0.0
6,54,2,3,0,3,3,8,4,3,2,3,2,2,0.0
5,31,2,1,0,2,2,4,1,2,2,2,0,2,1.0
9,36,2,3,2,2,2,5,2,2,1,2,0,2,1.0
7,32,2,2,0,2,3,2,1,2,2,1,1,2,1.0
2,39,2,3,0,3,3,8,3,3,2,3,2,1,1.0
6,53,2,3,1,3,3,0,5,3,3,3,2,2,0.0
2,28,2,1,2,1,6,6,1,1,1,1,0,2,1.0
7,34,1,1,0,2,4,6,1,2,2,1,1,1,1.0
2,43,2,3,0,4,2,4,4,3,3,2,2,2,0.0
6,27,2,1,0,2,6,6,2,2,2,2,1,1,1.0
9,32,2,1,0,2,2,5,2,2,2,2,0,2,1.0
10,28,2,1,0,0,5,5,1,1,1,1,0,2,1.0
6,39,2,3,0,3,2,1,2,2,2,2,0,2,1.0
5,34,2,2,0,3,6,8,2,2,2,2,1,2,1.0
2,42,2,2,0,2,2,1,2,2,2,3,1,1,1.0
4,43,2,3,0,3,3,6,3,3,3,4,1,2,1.0
9,33,2,1,0,2,1,7,2,2,3,2,0,2,1.0
10,51,1,3,2,3,3,9,4,3,3,2,3,2,0.0
6,31,2,3,0,2,0,4,2,2,2,2,1,1,1.0
5,43,2,3,2,3,3,0,3,2,2,3,1,2,1.0
7,30,2,1,0,3,5,7,2,2,3,2,1,2,1.0
8,49,2,3,0,4,3,7,5,3,3,4,2,2,0.0
2,29,1,1,1,3,2,4,2,1,2,2,0,2,1.0
4,30,2,1,1,2,3,1,1,2,2,1,1,2,1.0
6,24,2,1,0,2,3,2,1,2,2,1,0,2,1.0
7,48,1,2,0,3,3,4,2,3,3,2,1,2,1.0
5,46,2,3,0,2,6,8,2,2,2,2,0,2,1.0
9,43,1,3,2,3,4,2,4,3,3,4,1,2,0.0
10,51,2,4,0,4,4,8,6,3,4,4,3,2,0.0
9,46,2,3,1,3,2,6,3,3,3,3,2,2,1.0
2,41,2,3,1,3,3,6,2,2,2,3,1,2,1.0
8,49,2,3,0,2,3,4,2,3,2,2,1,2,1.0
9,37,2,2,1,2,2,0,2,2,2,1,1,1,1.0
2,52,1,3,0,3,6,6,5,3,3,2,3,2,1.0
4,22,1,1,0,2,4,9,1,1,2,1,0,1,1.0
3,41,2,2,1,3,2,3,3,3,2,3,1,2,0.0
2,29,2,1,0,3,6,5,2,2,2,1,0,2,1.0
10,39,2,3,0,3,4,9,2,2,2,2,1,2,1.0
4,31,2,1,1,2,0,8,1,2,2,2,0,2,1.0
10,25,2,1,0,2,6,6,1,3,2,1,1,2,1.0
9,46,2,3,0,3,2,8,4,3,3,3,2,2,0.0
6,57,2,3,1,4,3,7,4,3,2,3,2,2,0.0
5,26,2,1,0,3,2,6,1,2,2,2,0,2,1.0
6,31,1,1,0,3,3,4,1,2,2,1,0,2,1.0
3,42,1,1,1,3,2,2,2,2,2,2,0,1,1.0
9,54,1,3,0,3,4,2,3,3,3,3,1,2,0.0
7,50,2,2,0,3,5,3,3,3,3,3,1,1,1.0
4,38,1,3,0,3,1,0,3,2,3,3,1,2,0.0
2,26,2,1,1,2,3,7,1,2,1,1,0,2,1.0
9,37,1,1,0,2,6,8,2,2,2,2,0,2,1.0
8,30,2,1,1,2,2,8,2,1,2,2,0,2,1.0
3,29,2,1,0,2,3,1,2,2,2,2,1,2,1.0
6,48,2,2,2,3,2,9,5,3,3,4,2,2,0.0
9,31,1,1,0,2,7,0,1,1,1,2,0,1,1.0
9,43,1,3,2,3,5,6,3,2,3,3,1,2,1.0
8,37,1,3,0,3,3,4,4,3,3,3,1,2,0.0
3,32,1,2,0,1,6,6,1,2,2,2,0,1,1.0
7,41,2,3,0,3,2,4,3,3,3,4,1,2,1.0
8,45,2,1,0,3,3,7,2,2,2,3,1,2,1.0
9,32,2,1,2,3,3,6,2,2,2,2,1,2,1.0
2,44,1,2,2,3,2,4,3,3,2,3,1,2,1.0
10,53,2,3,0,3,2,8,5,3,4,3,2,2,0.0
8,45,2,2,2,3,2,4,3,3,3,2,1,2,1.0
6,27,2,1,0,2,4,2,1,2,1,1,0,2,1.0
9,41,2,1,1,3,3,4,2,2,2,2,1,1,0.0
7,39,2,3,1,3,2,9,2,3,2,2,0,1,0.0
8,42,2,3,1,3,3,8,4,3,4,3,1,2,0.0
4,44,1,3,0,3,2,3,3,3,2,2,1,2,0.0
